"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"1","Emmanuel Mudiay",293,91,200,127.098572959011,279.321568969549,-36.0985729590106,-79.3215689695489
"2","Corey Brewer",236,81,189,104.521057032912,245.016333751653,-23.5210570329116,-56.0163337516534
"3","Victor Oladipo",391,150,330,173.152274263414,385.973376467907,-23.1522742634135,-55.9733764679067
"4","Derrick Rose",413,160,336,183.878738750431,390.671557842605,-23.878738750431,-54.671557842605
"5","Jerami Grant",272,115,245,136.374094692985,298.255437087432,-21.3740946929846,-53.255437087432
"6","Julius Randle",354,147,299,171.851175717684,349.775332171554,-24.8511757176845,-50.7753321715537
"7","Tony Allen",188,75,155,99.1258069458078,205.318116237348,-24.1258069458078,-50.3181162373476
"8","DeMarcus Cousins",454,197,419,217.804181466586,466.099579137418,-20.8041814665864,-47.0995791374177
"9","Kobe Bryant",497,169,393,186.005513489984,439.901960879175,-17.0055134899844,-46.9019608791752
"10","Elfrid Payton",358,150,311,172.172517507306,357.739010541582,-22.1725175073063,-46.7390105415815
"11","Ricky Rubio",226,77,171,96.0100361447295,213.139038258296,-19.0100361447295,-42.1390382582959
"12","Trevor Ariza",349,134,335,150.562657606341,375.483263993744,-16.5626576063413,-40.4832639937437
"13","Jerian Grant",162,57,119,72.9943960425389,158.850912003626,-15.9943960425389,-39.850912003626
"14","Stanley Johnson",281,107,242,125.088485134771,281.799346356125,-18.0884851347705,-39.7993463561248
"15","Jeff Teague",379,159,350,178.517333710008,389.700212421435,-19.5173337100079,-39.7002124214355
"16","Garrett Temple",193,72,172,87.0384197362442,209.070632203833,-15.0384197362442,-37.0706322038328
"17","Marreese Speights",147,51,103,68.4337586682732,139.74288862629,-17.4337586682732,-36.74288862629
"18","Dion Waiters",314,124,277,140.262264855545,312.468156162486,-16.2622648555448,-35.4681561624858
"19","Markieff Morris",257,98,213,114.431658550824,247.857924417895,-16.4316585508242,-34.857924417895
"20","Randy Foye",236,80,195,93.3858797378268,229.789889901127,-13.3858797378268,-34.7898899011269
"21","Trevor Booker",158,63,130,79.6558440830549,164.617453247452,-16.6558440830549,-34.6174532474525
"22","Ish Smith",288,116,242,131.8894158205,275.966422411136,-15.8894158205002,-33.9664224111361
"23","Dennis Schroder",309,126,282,139.821636857391,315.829991356324,-13.8216368573911,-33.8299913563237
