PLAYER_ID,PLAYER_NAME
203926,Doug McDermott
203956,Mitch McGary
201580,JaVale McGee
203463,Ben McLemore
201177,Josh McRoberts
201975,Jodie Meeks
1626257,Salah Mejri
1626175,Jordan Mickey
203114,Khris Middleton
101139,CJ Miles
1889,Andre Miller
2034,Mike Miller
201988,Patty Mills
202407,Elijah Millsap
200794,Paul Millsap
202703,Nikola Mirotic
202328,Greg Monroe
1626242,Luis Montero
202734,E'Twaun Moore
203961,Eric Moreland
202694,Marcus Morris
202693,Markieff Morris
201627,Anthony Morrow
202700,Donatas Motiejunas
202389,Timofey Mozgov
1626144,Emmanuel Mudiay
203498,Shabazz Muhammad
203488,Mike Muscala
1626204,Larry Nance Jr.
203894,Shabazz Napier
202390,Gary Neal
2749,Jameer Nelson
203526,Raul Neto
203094,Andrew Nicholson
201149,Joakim Noah
203457,Nerlens Noel
203512,Lucas Nogueira
200779,Steve Novak
1717,Dirk Nowitzki
203994,Jusuf Nurkic
203948,Johnny O'Bryant
203124,Kyle O'Quinn
1626143,Jahlil Okafor
203506,Victor Oladipo
203482,Kelly Olynyk
1626162,Kelly Oubre
2585,Zaza Pachulia
203123,Kostas Papanikolaou
203953,Jabari Parker
2225,Tony Parker
202718,Chandler Parsons
203934,Lamar Patterson
202335,Patrick Patterson
101108,Chris Paul
203940,Adreian Payne
1626166,Cameron Payne
203901,Elfrid Payton
201593,Nikola Pekovic
2570,Kendrick Perkins
1718,Paul Pierce
202353,Tibor Pleiss
203486,Mason Plumlee
203101,Miles Plumlee
202347,Quincy Pondexter
203490,Otto Porter
1626171,Bobby Portis
204001,Kristaps Porzingis
203939,Dwight Powell
1626181,Norman Powell
101179,Ronnie Price
203143,Pablo Prigioni
2419,Tayshaun Prince
203944,Julius Randle
2216,Zach Randolph
200755,JJ Redick
203186,Willie Reed
1626196,Josh Richardson
203085,Austin Rivers
203460,Andre Roberson
203148,Brian Roberts
203922,Glenn Robinson
203080,Thomas Robinson
200765,Rajon Rondo
201565,Derrick Rose
203082,Terrence Ross
1626179,Terry Rozier
201937,Ricky Rubio
204014,Damjan Rudez
201575,Brandon Rush
1626156,D'Angelo Russell
203135,Robert Sacre
203960,JaKarr Sampson
203471,Dennis Schroder
2449,Luis Scola
203118,Mike Scott
200757,Thabo Sefolosha
202338,Kevin Seraphin
201196,Ramon Sessions
202697,Iman Shumpert
203613,Jonathon Simmons
202713,Kyle Singler
202388,Donald Sloan
203935,Marcus Smart
202397,Ish Smith
2747,J.R. Smith
201160,Jason Smith
2746,Josh Smith
203893,Russ Smith
203503,Tony Snell
201578,Marreese Speights
201168,Tiago Splitter
203917,Nik Stauskas
202362,Lance Stephenson
203950,Jarnell Stokes
2405,Amar'e Stoudemire
201155,Rodney Stuckey
203096,Jared Sullinger
204002,Walter Tavares
201952,Jeff Teague
203141,Mirza Teletovic
202066,Garrett Temple
1891,Jason Terry
202738,Isaiah Thomas
202498,Lance Thomas
203138,Hollis Thompson
201574,Jason Thompson
202691,Klay Thompson
202684,Tristan Thompson
201977,Marcus Thornton
201229,Anthony Tolliver
1626157,Karl-Anthony Towns
200782,PJ Tucker
202323,Evan Turner
1626167,Myles Turner
2757,Beno Udrih
202685,Jonas Valanciunas
2760,Anderson Varejao
202349,Greivis Vasquez
1626173,Rashad Vaughn
101111,Charlie Villanueva
203943,Noah Vonleh
202696,Nikola Vucevic
2756,Sasha Vujacic
2548,Dwyane Wade
203079,Dion Waiters
202689,Kemba Walker
202322,John Wall
203933,TJ Warren
201228,CJ Watson
201603,Sonny Weems
2561,David West
201566,Russell Westbrook
202355,Hassan Whiteside
203963,Shayne Whittington
203952,Andrew Wiggins
203912,CJ Wilcox
101114,Deron Williams
202682,Derrick Williams
101150,Lou Williams
101107,Marvin Williams
2590,Mo Williams
1626159,Justise Winslow
203481,Jeff Withey
1626174,Christian Wood
1897,Metta World Peace
201148,Brandan Wright
1626153,Delon Wright
203100,Tony Wroten
203923,James Young
1626202,Joe Young
201156,Nick Young
201152,Thaddeus Young
203469,Cody Zeller
203092,Tyler Zeller
