"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"64","Spencer Dinwiddie",169,51,114,67.4711398637685,156.755506681122,-16.4711398637685,-42.755506681122
"65","Derrick Williams",481,215,479,231.407903439962,519.737718583126,-16.4079034399617,-40.7377185831261
"66","Will Barton",350,150,323,166.165156498894,361.945638201991,-16.1651564988937,-38.9456382019915
"67","Nate Robinson",253,86,203,102.089758679339,241.894394678267,-16.0897586793386,-38.8943946782668
"68","Ty Lawson",922,404,878,419.460235075273,911.008591876074,-15.4602350752735,-33.0085918760736
"69","Udonis Haslem",232,103,208,118.397609841523,240.749445075667,-15.3976098415226,-32.7494450756673
"70","Ray McCallum",466,204,441,219.145947300042,477.708275282632,-15.1459473000421,-36.7082752826322
"71","Spencer Hawes",413,163,381,178.130890520534,418.390382392907,-15.1308905205343,-37.3903823929068
"72","Cleanthony Early",213,76,174,91.0486003080595,210.841272519338,-15.0486003080595,-36.8412725193377
"73","Brandon Jennings",540,218,512,233.012884459133,539.562057577029,-15.0128844591331,-27.5620575770286
"74","DeMar DeRozan",988,409,843,423.720163362309,877.237574353134,-14.7201633623088,-34.2375743531344
"75","Jose Juan Barea",535,225,504,239.625047269855,537.982101967214,-14.6250472698551,-33.9821019672142
"76","Thabo Sefolosha",247,104,233,118.520021527947,266.830877381413,-14.5200215279473,-33.8308773814132
"77","Nikola Mirotic",614,248,594,262.286760206577,632.720651612846,-14.2867602065768,-38.7206516128457
"78","Nick Collison",252,106,228,120.238667151421,263.046158135386,-14.2386671514214,-35.0461581353857
"79","Phil Pressey",174,64,144,77.9063681878186,179.139399926924,-13.9063681878186,-35.1393999269244
"80","Ricky Rubio",219,78,169,91.8454901371723,202.242203260168,-13.8454901371723,-33.2422032601676
"81","Maurice Harkless",156,63,136,76.8219166794951,174.557430852026,-13.8219166794951,-38.5574308520263
"82","Draymond Green",755,336,783,349.801011893793,819.944978298402,-13.8010118937932,-36.9449782984025
"83","Cody Zeller",371,171,343,184.736985100814,369.877313558237,-13.7369851008144,-26.8773135582366
"84","Alexey Shved",330,131,308,144.734858536568,336.493912668393,-13.7348585365682,-28.4939126683932
"85","Kyle Singler",445,172,440,185.724754073844,459.60182589941,-13.7247540738441,-19.6018258994104
"86","Martell Webster",90,24,58,37.6912463301804,90.8796508803207,-13.6912463301804,-32.8796508803207
"87","James Ennis",246,101,233,114.308647030913,262.959717490417,-13.3086470309127,-29.9597174904168
"88","John Wall",1153,512,1089,525.234878402237,1125.91444771269,-13.2348784022374,-36.9144477126872
"89","Ronnie Price",222,77,185,90.1242547545163,217.478528130203,-13.1242547545163,-32.4785281302034
"90","Chris Copeland",308,112,276,124.872238106685,308.065831495674,-12.8722381066848,-32.065831495674
"91","Alec Burks",300,121,268,133.64993169787,291.701840693447,-12.6499316978702,-23.7018406934475
"92","Johnny O'Bryant",115,43,86,55.4294470011225,110.858894002245,-12.4294470011225,-24.858894002245
"93","Kobe Bryant",711,266,586,278.415111597126,613.276980032512,-12.415111597126,-27.2769800325121
"94","Thomas Robinson",258,126,252,138.345336339615,277.939889420341,-12.3453363396152,-25.9398894203412
"95","Nik Stauskas",296,108,264,120.309610067764,291.906235006933,-12.3096100677643,-27.9062350069331
"96","Darius Morris",105,36,79,48.2369637371396,108.445107916008,-12.2369637371396,-29.4451079160084
"97","Jerryd Bayless",509,217,470,229.174811433923,501.890950296547,-12.1748114339233,-31.8909502965466
"98","Justin Holiday",234,91,217,102.91569879646,245.956286875382,-11.9156987964597,-28.9562868753818
"99","Ricky Ledo",96,32,74,43.8119104277885,97.0016242591006,-11.8119104277885,-23.0016242591006
"100","Robert Sacre",305,126,252,137.662807846682,275.716608959357,-11.6628078466819,-23.716608959357
"101","Jeremy Lin",651,277,619,288.511654611875,637.508879823339,-11.5116546118754,-18.5088798233387
"102","Norris Cole",548,228,510,239.454147300887,538.978701845905,-11.4541473008874,-28.9787018459051
"103","Shawn Marion",262,118,248,129.353454351423,275.564608636289,-11.3534543514226,-27.5646086362894
"104","Brandon Rush",53,11,25,22.2162220243847,54.2825914376247,-11.2162220243847,-29.2825914376247
"105","Tyler Ennis",144,52,116,63.1716185591908,142.016213508263,-11.1716185591908,-26.016213508263
"106","Jason Maxiell",189,81,162,92.0167772128125,184.033554425625,-11.0167772128125,-22.0335544256249
"107","Jimmer Fredette",166,63,135,73.7114455444751,164.69699240308,-10.7114455444751,-29.6969924030801
"108","Willie Green",306,118,278,128.594670056988,302.712162360442,-10.5946700569878,-24.7121623604422
"109","Kirk Hinrich",379,141,340,151.308241599421,364.069575082278,-10.3082415994206,-24.0695750822779
"110","Matthew Dellavedova",305,111,290,121.217010752326,303.426941871121,-10.2170107523256,-13.426941871121
"111","Kenneth Faried",729,368,737,378.191392400799,758.806937864619,-10.1913924007988,-21.806937864619
"112","Langston Galloway",501,202,465,212.118737148719,482.442142127988,-10.1187371487187,-17.442142127988
"113","Alonzo Gee",185,86,185,96.0765288670805,205.563383061399,-10.0765288670805,-20.5633830613995
"114","Adreian Payne",220,91,183,100.997957954021,205.507193857329,-9.99795795402116,-22.5071938573292
"115","Jeff Teague",881,407,885,416.983788209345,910.418442442094,-9.98378820934454,-25.4184424420945
"116","Andrew Wiggins",1119,489,1016,498.931718025563,1042.90494300298,-9.93171802556265,-26.904943002977
"117","Kyle Anderson",89,31,65,40.86084446685,86.0415698882536,-9.86084446684998,-21.0415698882536
